mAs,kVp,Added Filtration,Average Exposure,Transmission (%)
40,70,0,1.75,100
40,70,1,1.297,74.11428571
40,70,2,1.052,60.11428571
40,70,3,0.8024,45.85142857
40,70,4,0.6652,38.01142857
40,70,5,0.5512,31.49714286
40,70,6,0.4625,26.42857143
40,70,7,0.384,21.94285714
40,90,0,2.805,100
40,90,1,2.1935,78.19964349
40,90,2,1.789,63.77896613
40,90,3,1.475,52.58467023
40,90,4,1.2645,45.0802139
40,90,5,1.0875,38.77005348
40,90,6,0.9429,33.61497326
40,90,7,0.80855,28.82531194
40,120,0,4.5775,100
40,120,1,3.82,83.45166576
40,120,2,3.2255,70.4642272
40,120,3,2.7915,60.98306936
40,120,4,2.4615,53.77389405
40,120,5,2.185,47.73347897
40,120,6,1.941,42.40305844
40,120,7,1.7095,37.34571273
40,70,0,1.75,100
40,70,1,0.975,55.71428571
40,70,2,0.735,42
40,70,3,0.657,37.54285714
40,70,4,0.563,32.17142857
40,70,5,0.452,25.82857143
40,70,6,0.365,20.85714286
40,70,7,0.212,12.11428571
40,90,0,3.1,100
40,90,1,2.153,69.4516129
40,90,2,1.669,53.83870968
40,90,3,1.275,41.12903226
40,90,4,1.0875,35.08064516
40,90,5,0.9429,30.41612903
40,90,6,0.80855,26.08225806
40,90,7,0.685,22.09677419
40,120,0,4.8,100
40,120,1,3.68,76.66666667
40,120,2,2.8215,58.78125
40,120,3,2.4435,50.90625
40,120,4,2.195,45.72916667
40,120,5,1.923,40.0625
40,120,6,1.651,34.39583333
40,120,7,1.4413,30.02708333
